#candidate_src	#candidate_tgt	#sentence
		With the official start of primary season, candidates were off and running as they sought to quickly raise millions of dollars for ad buys.
marathon		The Iowa caucuses in January 2012 serve as the starting line of the marathon primary-election campaigns necessary ...
front-runner/race		Hutchinson the front-runner in 2014 governor's race
pawn		Too often it is post mortem head scratching, as if democratic strategists do not realize every candidate is a pawn on the national. chessboard
		the candidates came out punching
win	win	Beasley won the first round of Democratic primary for lieutenant governor in 1970, but failed to win a majority.
	government	Randy has a plan to turn a bloated government of Washington bureaucrats into a lean and efficient government
machine	government	Our state government, a well oiled machine of efficiency.
	government	Like some it is supposed to serve, Massachusetts government has become flabby.
		Apparently, I’m not the only parent who’s concerned about high stakes testing.
resource	education	A good education is a powerful resource.
	economy	With The Economy Humming, Will Manufacturing Software Help Manufacturers Stay In Tune?
gear/engine	economic	"""Although we have a long way to go before we can put this recession behind us, the gears of our economic engine do appear ... to be slowly turning once again,"""
	economy	The economy is falling apart.
back	economy	force-feed the economy back to health
process	process	It is smooth sailing from here on in in the application process.
		It's all downhill for the rest of the course.
	thought	The very thought of it makes me sick.
		That's bullshit!
		What separates the men from the boys?
victory	doctor	The doctors at the CDC led the way to victory against the flu epidemic.
fight/battle	patient	The cancer patient fought a long, hard, battle, but she eventually succumbed to her disease.
triumph/war		A Triumph in the War Against Cancer
arsenal	doctor	With nothing left in their leukemia-fighting arsenal, the doctors were down to Dilaudid, a derivative of morphine...
divide		Americans are divided as to whether a third major party is needed in U.S. politics today
weapon	diplomacy	The Weapons of Diplomacy, and the Human Factor
		I have a heavy workload this year.
		This situation is hard to bear.
		This is a very hard problem to solve.
go		My life is going nowhere - I'm just spinning my wheels.
cover		Recently enacted policies provide cover for companies engaged in illicit activities.
		We have a lot of hurdles to get over in our relationship.
		Our project has hit a roadblock.
		What's holding you back from pursuing your dreams?
		They faced some tough problems at the beginning of their marriage but got over them quickly.
		To be cool, you have to wear your overalls this way.
		She solved the problem a different way.
	do	Do it any way you can.
		However you want to go about repairing it is fine with me.
cultivate		Tips on how to cultivate openness to change.
		He's drooling over a new car.
hunger		He hungered for her attention.
		democracy for sale
plant/seed		plant the seeds of democracy
		democracy blossoms
fledgling	democracy	fledgling democracy
	democracy	democracy spreads its wings
		To us, culture and spirituality are very close concepts.
	moral	He is a person of very high moral standards.
		He is far more intelligent than he looks.
	debt	Debt is holding me back from reaching my goals.
	debt	Credit card debt has been growing significantly
		
		Obama and Romney Strike Blows Over Benghazi
attack	criticism	He attacked the speaker with harsh words of criticism.
ravage	crime	Crime is a beast ravaging the city.
infect	crime	Crime has infected communities everywhere.
		The solution only created more problems.
		Out of these discussions will grow legislation of farreaching importance.
erode	corruption	Corruption is eroding the public trust in government.
rot		Stopping the rot in public life.
	corruption	Our nation has been infested with the termites of corruption, the worms of immorality, and a virus of indifference and apathy.
cancer/afflict	corruption	Our government is afflicted with the cancer of corruption.
infect	corrupt	Corrupt officials are infecting our government at every level.
	corruption	California Cities Struggling Under Wave of Corruption
	corruption	FIFA facing corruption 'tsunami'
		Rescuing Iranian Sailors? U.S. Says It Is Just Doing Its Duty
		Report to your superiors for duty.
		He's the low man on the totem pole.
	power	Napoleon's skill at the siege of Toulon while only an artillery captain under General Jacques Dugommier was to start Napoleon on the path of greatness; a rise to power that was to be incredibly rapid.
	control	Relax. We've got everything under control.
		I am on top of the situation.
		He's in a superior position.
	command	He's in the high command.
		He's in the upper echelon.
	power	His power rose.
		He's putty in her hands.
have	control	He has control over all the workers.
	power	The president kept his hold on power.
	control	She regained control of the assembly.
possess	power	He possesses the power to heal small animals.
	control	His actions are beyond my control.
	control	The whole situation spiraled out of (our) control.
	power	He returned to power.
	control	The president is in control of the executive branch.
	power	President Mubarak has stepped down from power.
gobble		Developing nations are gobbling up our fossil fuels at any alarming rate.
consume		The United States' insatiable appetite for electronics will entirely consume our supply of rare metals.
		This SUV sure is a gas guzzler.
eat		Demand for paper goods is eating away at our planet's forests.
		There is both cotton and polyester in that shirt.
		This drink is loaded with vitamins.
		Our agenda is packed with events.
		There are seven days in a week.
trump	right	“Your dead kids don’t trump my Constitutional rights.”
		I'm up!
		Wake up!
		Vanity finally drove me to have the operation.
race		The arms race.
play	play	We’ve been playing chess for years, and he’s finally pulling ahead of me.
		He’s a better writer than I am, and he’s widening the distance.
		We have to restructure this firm.
		Let me illustrate the theory with some examples.
show		I'm now going to show you that you are wrong.
point		He pointed out that global warming is real.
		You gave me a great idea!
		Try to pack more thoughts into fewer words.
		Whenever you have a good idea practice capturing it in words.
		Don't force your meanings into the wrong words.
		Try to get your thoughts across better.
		You still have to give me an idea of what you mean.
guide		This book will guide you step by step how to apply for citizenship.
		I've been feeding him stock market tips for weeks.
		Do I have to draw a picture for you?
		He painted an idyllic picture of their life together.
		My mind was racing.
		My mind is tired.
slavery		This new slavery is a total dependence by individuals and families on government for the materials and funds necessary to maintain a minimum standard of living.
enslave	state	...the people of America’s needs and priorities become second to the needs of the state and the people of America become enslaved to the state.
ear/eye	state	Snitch Culture: How Citizens are Turned into the Eyes and Ears of the State
		Nine reasons why we should fire Congress
	right	We need to protect our rights from infringement.
protect	right	Do gun rights protect against tyranny?
	right	Don't let anyone take away your right to vote.
	right	One down of the three pillars of “unalienable” rights that hold up this great country of ours.
		
	right	This is an usagainst-them battle, but the “them” are those who would dismantle our rights.
		I got a headache.
		My headache went away.
go		He went crazy.
		He fell into a depression.
come		I came out of my depression.
go		He went over the edge.
go		Things have gone from bad to worse lately.
		My headache went away.
lose		He lost his faith.
		He got rid of his headache.
get		I got a headache.
	control	The US handed over control of the prisoners to Afghan authorities.
	control	The Democrats wrested control of four governerships from the Republicans
	control	The government acquired control of the company's assets.
		The plans for the trip have finally been firmed up.
		Next year's budget is fairly solid at this point.
		... allow courts to circumvent the First Amendment, slowly eroding the freedom of the press in a much more subtle manner than if they gagged the media directly.
		The government should not muzzle the press.
cut/cripple		Another round of cuts will cripple the economy.
treatment	crime	Thriving community centers have proven to be an effective treatment against violent crime in a number of neighborhoods.
		The trial thrust O.J.'s attorney's into the limelight.
	bring	FDR's leadership brought the country out of the depression.
		That experience pushed him over the edge
move	move	Regulations keep me from moving ahead with this housing project.
		Sudden illness stopped his progress.
process	process/step	He's really gotten hung up at that step in the process.
	do/so	He is so caught up in his work he can't do anything else.
		He was held up in the meeting.
force	force	She was forced into an arranged marriage.
push		Her parents kept pushing her until she succeeded.
		The noise is giving me a headache.
		Tomatoes technically fall within the fruit category.
		I wouldn't put him in the friend category, exactly.
thing	career	How to make a career out of things you would do even for free.
	career	Stars whose careers collapsed in a relatively short amount of time
	business	Here are some tips to grow your business.
lose	lose	It's Now Apple And Samsung's Game To Lose--Everyone Else Is An Also-Ran
machine/cog	bureaucratic	You could call me just a work-for-hire hack, and a willing, contented cog in a bureaucratic machine.
cog	bureaucracy	Confronted with the grinding cogs of bureaucracy, but needing a new cap, Coltrane shrugged and filled out the form.
tentacle	bureaucrat/administration	The creation of this board of unelected bureaucrats is yet another tentacle of the Obama Administration digging its way into the doctors-patient relationship.
maze	bureaucratic	Lost in the bureaucratic maze of city's criminal justice system
	anger	He was filled with anger.
		She couldn't contain her joy.
		She was brimming with rage.
	belief	Hold on to your beliefs and never let them go.
		The prescribing physician is in the best position to evaluate a patient's treatment history and options.
		I refuse to stoop to that kind of behavior.
upstanding		He is an upstanding citizen.
		He's no longer with us.
		He's gone / departed.
stink		This movie stinks!
		In a democratic government, authority is given to it by the people.
have		She has a sunny disposition.
have		This place has lost a lot of its charm.
		The new mustache gave him an older appearance.
		If you soak it in water, the wood will lose its rigidity.
get	control	You could talk about the dealerships, auto dealerships that were closed down when the government got control of a couple of the auto companies, an awful lot of people lost jobs, businesses were closed, and so on.
	control	The Shadow Party: How George Soros, Hillary Clinton, and Sixties Radicals Seized Control of the Democratic Party
support		Our conservation program needs your support.
		I've really been leaning on my friends the past few months.
		We need to know how big of a problem that is.
		Five is made up of two plus three.
		If you put 2 and 2 together, you get 4.
bombard	argument	He bombarded them with clever arguments.
	criticism	His criticisms were right on target.
	claim	Your claims are indefensible.
	argument/point	He attacked every weak point in my argument.
	criticism	His criticisms were right on target.
	argument	I blew his argument out of the water.
	argument	I've never won an argument with him.
		You disagree? OK, shoot!
		If you use that strategy, he'll wipe you out.
	argument	He shot down all of my arguments.
		You make my blood boil.
		I had reached the boiling point.
	anger	He was just about to burst with anger.
crazy		I just touched him, and he went crazy.
nuts		You're driving me nuts!
mad		I'm mad!
		When the up threw him out of the game, Billy started foaming at the mouth.
hysterical		If anything else goes wrong, I'll get hysterical.
	angry	He got so angry, he went out of his mind.
		When my mother finds out, she'll have a fit.
		He's tearing his hair out!
		The loud music next door has got him climbing the walls!
hot		He has a hot temper.
	rage	He's burning with rage.
		Those are inflammatory remarks.
burn		She was doing a slow burn.
fire		She was breathing fire.
fire		Your insincere apology just added fuel to the fire.
smolder		After the argument, Dave was smoldering for days.
	anger	He was consumed by his anger.
		He's seeing red.
dissect		The hallways are filled with the sounds of middle school students, primarily eighth graders, dissecting the second presidential debate from the evening before.
		Ecologists Shed New Light On Effects of Light Pollution On Wildlife
		We're finally on the same page.
		Who's with me?
warm		She's warming up to her new brother-in-law.
fanatic	control/gun	Of course, gun control fanatics pay little attention to facts.
weapon/war		The most powerful weapon in the war against obesity might be something we all understand: cold, hard cash.
war/lose		How America's losing the war on poverty
treatment		Debt Ceiling Deal: Wrong Diagnosis Leads to Wrong Treatment for What Ails the Economy
cure		Improving access to education is the only sure way to cure us of poverty.
	criminal	Law enforcement officers have often described these arrests as a way of reining in criminals whose other, more serious activities present a danger to the public.
		Do it over.
		In the course of the investigation, new evidence was found.
		Follow along as I assemble this.
		Follow these steps in assembly.
		How did Jerry get out of washing the windows?
		Outside of washing the windows, what else did you do?
		I put a lot of energy into washing the windows.
		I get a lot of satisfaction out of washing windows.
		He exercised to the point of exhaustion.
way		She squeezed her way to thinner thighs.
		He drank himself out of the promotion.
	do	He went on with what he was doing.
back		She went back to sleep.
way		She successfully navigated her way through the contract negotiations.
		Devastation from the hurricane thrust the nation into recession.
move	move	Congress' refusal to compromise is moving the country toward economic ruin.
		This computer program turns the power on and off.
be		The car is in motion.
		I'm going to leave.
		She's close to resigning.
eat	idea	We pitched them the idea and they ate it right up.
feed		He's been feeding her lies all these years.
		This article is hard to digest.
rise		Hitler's rise to power cannot be attributed to one event, but a mixture of factors including events happening outside Germany...
		Regensburg’s political influence reached its peak when Regensburg was city of the Perpetual Diet or General Assembly of the Imperial Estates of the Holy Roman Empire from 1663 to 1806.
end/reach		We've reached the end.
end		We are seeing the light at the end of the tunnel.
		We only have  short way to go.
		We're where we wanted to go.
		The goal is a long way off.
		He is just floating around.
		They just handed him the job.
seize		Seize the opportunity.
get		I kept getting close to a world championship, but it kept escaping me.
get		He finally managed to get a smile out of her.
		She landed four huge accounts this year.
		Will House Republicans Get Bullied into a Tax Hike By Obama?
	secretary/state/general	On the other hand, it's making him look indecisive, and as Pat said, he's being pushed around by the generals, by the Secretary of State and by others.
blind		The US is blind to the limits of Palestinian politics.
		The issue was exposed to the light of day.
		The government covered up the high levels of radiation.
		His judgement is clouded.
